   0.0905041 -0.000665849     -9.78987
   0.0905034 -0.000665735     -9.78987
   0.0905017 -0.000666087     -9.78987
   0.0905014 -0.000666808     -9.78987
   0.0904998 -0.000667011     -9.78987
   0.0904994 -0.000667769     -9.78987
   0.0904978 -0.000667947     -9.78987
   0.0904975 -0.000668607     -9.78987
   0.0904958 -0.000668785     -9.78987
   0.0904955 -0.000669445     -9.78987
  0.0904938 -0.00066955    -9.78987
   0.0904936 -0.000670075     -9.78987
   0.0904923 -0.000671086     -9.78987
   0.0904916 -0.000670718     -9.78987
   0.0904904 -0.000671729     -9.78987
   0.0904901 -0.000672083     -9.78987
   0.0904888 -0.000672996     -9.78987
   0.0904872 -0.000672979     -9.78987
   0.0904869 -0.000673443     -9.78987
   0.0904862 -0.000673442     -9.78987
   0.0904849 -0.000674184     -9.78987
   0.0904846 -0.000674515     -9.78987
   0.0904834 -0.000675332     -9.78987
   0.0904818 -0.000675218     -9.78987
   0.0904815 -0.000675451     -9.78987
   0.0904803 -0.000676097     -9.78987
   0.0904791 -0.000676778     -9.78987
    0.090478 -0.000676465     -9.78988
   0.0904773 -0.000677145     -9.78988
   0.0904761 -0.000676996     -9.78988
   0.0904749 -0.000677506     -9.78988
  0.0904741 -0.00067892    -9.78988
   0.0904738 -0.000679054     -9.78988
   0.0904726 -0.000679087     -9.78988
   0.0904715 -0.000680158     -9.78988
   0.0904707 -0.000680216     -9.78988
  0.0904695 -0.00068053    -9.78988
   0.0904688 -0.000681556     -9.78988
  0.0904676 -0.00068165    -9.78988
   0.0904672 -0.000682238     -9.78988
   0.0904657 -0.000682744     -9.78988
   0.0904651 -0.000682086     -9.78988
   0.0904638 -0.000682216     -9.78988
   0.0904631 -0.000683202     -9.78988
   0.0904619 -0.000684238     -9.78988
   0.0904607 -0.000684331     -9.78989
   0.0904605 -0.000685355     -9.78989
   0.0904593 -0.000684707     -9.78989
   0.0904585 -0.000685658     -9.78989
   0.0904574 -0.000685211     -9.78989
   0.0904559 -0.000686233     -9.78989
   0.0904557 -0.000686481     -9.78989
   0.0904545 -0.000686538     -9.78989
   0.0904528 -0.000688011     -9.78989
   0.0904517 -0.000688104     -9.78989
   0.0904515 -0.000688397     -9.78989
   0.0904507 -0.000689311     -9.78989
  0.0904495 -0.00068888     -9.7899
   0.0904481 -0.000688887      -9.7899
   0.0904479 -0.000689182      -9.7899
   0.0904462 -0.000690581      -9.7899
   0.0904455 -0.000691569      -9.7899
   0.0904443 -0.000691699      -9.7899
