   0.263889    0.525156 4.42112e-07
   0.527782     1.05032 1.17898e-06
   0.79168    1.57549 2.2106e-06
    1.05558     2.10067 3.53699e-06
    1.31949     2.62586 5.15815e-06
     1.5834     3.15106 7.07409e-06
    1.84732     3.67627 9.28482e-06
    2.11124     4.20148 1.17903e-05
    2.37516      4.7267 1.45907e-05
    2.63909     5.25193 1.76858e-05
    2.90303     5.77717 2.10758e-05
    3.16697     6.30242 2.47605e-05
    3.43091     6.82768 2.87401e-05
    3.69486     7.35294 3.30146e-05
    3.95881     7.87821 3.75839e-05
   4.22277    8.40349 4.2448e-05
   4.48673    8.92878 4.7607e-05
     4.7507     9.45407 5.30609e-05
    5.01468     9.97938 5.88097e-05
    5.27865     10.5047 6.48533e-05
    5.54264       11.03 7.11918e-05
    5.80662     11.5553 7.78253e-05
    6.07062     12.0807 8.47536e-05
    6.33461      12.606 9.19768e-05
   6.59862    13.1314 9.9495e-05
    6.86263     13.6567 0.000107308
    7.12664     14.1821 0.000115416
    7.39066     14.7075 0.000123819
    7.65468     15.2329 0.000132517
   7.91871    15.7582 0.00014151
    8.18274     16.2836 0.000150798
   8.44678    16.8091 0.00016038
    8.71082     17.3345 0.000170258
    8.97487     17.8599 0.000180431
    9.23893     18.3853 0.000190899
    9.50299     18.9108 0.000201662
    9.76705     19.4362 0.000212719
    10.0311     19.9617 0.000224072
   10.2952    20.4871 0.00023572
    10.5593     21.0126 0.000247663
    10.8234     21.5381 0.000259901
    11.0875     22.0636 0.000272434
    11.3516     22.5891 0.000285262
    11.6157     23.1146 0.000298385
    11.8798     23.6401 0.000311803
    12.1439     24.1656 0.000325516
     12.408     24.6911 0.000339524
    12.6721     25.2166 0.000353828
    12.9363     25.7422 0.000368426
   13.2004    26.2677 0.00038332
    13.4645     26.7933 0.000398508
    13.7287     27.3189 0.000413992
    13.9928     27.8444 0.000429771
     14.257       28.37 0.000445845
    14.5212     28.8956 0.000462214
    14.7853     29.4212 0.000478879
    15.0495     29.9468 0.000495838
    15.3137     30.4724 0.000513093
    15.5779      30.998 0.000530643
    15.8421     31.5236 0.000548488
    16.1063     32.0493 0.000566628
    16.3705     32.5749 0.000585064
    16.6347     33.1006 0.000603794
   16.8989    33.6262 0.00062282
    17.1632     34.1519 0.000642141
    17.4274     34.6775 0.000661758
    17.6916     35.2032 0.000681669
    17.9559     35.7289 0.000701876
    18.2201     36.2546 0.000722378
    18.4844     36.7803 0.000743176
    18.7486      37.306 0.000764268
    19.0129     37.8317 0.000785656
